user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
What is tuition cost for the program?,"['### Program Tuition\n\nTuition and course fees displayed are for Summer 2024, Autumn 2024, Winter 2025, and Spring 2025. Visit the [Office of the University Bursar website](https://bursar.uchicago.edu/tuition-and-fees/tuition-and-fees-2023-24/tuition-and-fees-2023-24-physical-sciences-division) for information on quarterly and occasional fees, as well as information about tuition rates.\n\n* Tuition for the MS in Applied Data Science program: $5,967 per course/$71,604 total tuition**\n* Program Enrollment Deposit (non-refundable): $1,500 (credited toward your first quarter’s tuition balance)\n* Enrolling in a program of study includes additional costs beyond the tuition listed here. For a full list of direct and indirect expenses associated with the cost of attendance, please visit the [Cost of Attendance](https://financialaid.uchicago.edu/graduate/costs/cost-of-attendance/) page of the Graduate Financial Aid Office website.\n* Note: Tuition is expected to increase 3-7% per year.\n* The program awards merit-based scholarships.', ""### What is the total cost of tuition for the Master's in Applied Data Science program?\n\nAs part of the I-20 or DS-2019 request process, the [Office of International Affairs](https://internationalaffairs.uchicago.edu/) will conduct a thorough review of financial documentation (e.g. bank statements, letter(s) of support, etc.) to verify that international students have access to the total cost of attendance which includes tuition, student fees, health insurance, books and supplies, and living expenses."", '### Application Fee\n\nThere is a $90 non-refundable application fee. For questions regarding an application fee waiver, please refer to the [Physical Sciences Division fee waiver policy](https://physicalsciences.uchicago.edu/academics/admissions/application-requirements/#FeeWaiver).']","I apologize, but there are no documents available that provide information on the tuition cost for the Applied Data Science program. Unfortunately, I do not have the necessary details to answer your question accurately. It is recommended to directly contact the university's admissions or financial aid office for the most up-to-date and precise information regarding tuition costs for the program.","Tuition for the MS in Applied Data Science program: $5,967 per course/$71,604 total tuition",0.0,0.0,0.99999999995,1.0,0.21858559980833964
What scholarships are available for the program?,"['## The Data Science Institute Scholarship, MS in Applied Data Science Alumni Scholarship\n\nThe MS in Applied Data Science program offers partial tuition scholarships to top applicants. These scholarships do not require a separate application but it is recommended that candidates submit their applications ahead of the early deadline to maximize their chances of securing a scholarship.\n\n#### Other Scholarships\nStudents are encouraged to investigate scholarships offered through various civic and professional organizations, foundations and state agencies. One place to search for scholarships is the [financial aid information web page](https://finaid.org/) sponsored by the National Association of Student Aid Administration.\n\n#### Financial Aid\nMerit scholarships are available for eligible applicants. Once you apply to the program, you will be automatically considered for a scholarship. Early applications are highly encouraged.\n\nIn addition, if you are interested in financial aid to help finance your graduate education, once admitted, you will work with the University of Chicago’s Student Loan Administration office.\n\nTo understand the types of financial assistance available and to gather additional information, please visit the [Graduate Aid page](https://financialaid.uchicago.edu/graduate). For international student funding options, please visit the [International Student Funding Options page](https://internationalaffairs.uchicago.edu/fundingoptions).\n\nTo find out if you are eligible for federal loans, please visit our [Aid Eligibility page](https://financialaid.uchicago.edu/graduate/types-aid/aid-eligibility-criteria). We have administrative systems in place to assist students in applying for financial aid upon admission to programs. Please visit our Tuition, Financing, and Billing page for more information.\n\nFor information and assistance with employer tuition benefits, please visit the [website of the Bursar](http://bursar.uchicago.edu/).\n\nIf you are interested in financial aid through student employment, please visit the [Student Employment website](https://studentemployment.uchicago.edu/).\n\nVisit our [FAQ](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/) page for additional information.\n\n#### Start Your Application\nThe [In-Person](https://datascience.uchicago.edu/education/masters-programs/in-person-program/) and the [Online](https://datascience.uchicago.edu/education/masters-programs/online-program/) program admit full- and part-time students for entrance in autumn quarter.', '### Financial Aid\n\nMerit scholarships are available for eligible applicants. Once you apply to the program, you will be automatically considered for a scholarship. Early applications are highly encouraged.\n\nIn addition, if you are interested in financial aid to help finance your graduate education, once admitted, you will work with the University of Chicago’s Student Loan Administration office.\n\nTo understand the types of financial assistance available and to gather additional information, please visit the [Graduate Aid page](https://financialaid.uchicago.edu/graduate). For international student funding options, please visit the [International Student Funding Options page](https://internationalaffairs.uchicago.edu/fundingoptions).\n\nTo find out if you are eligible for federal loans, please visit our [Aid Eligibility page](https://financialaid.uchicago.edu/graduate/types-aid/aid-eligibility-criteria). We have administrative systems in place to assist students in applying for financial aid upon admission to programs. Please visit our Tuition, Financing, and Billing page for more information.\n\nFor information and assistance with employer tuition benefits, please visit the [website of the Bursar](http://bursar.uchicago.edu/).\n\nIf you are interested in financial aid through student employment, please visit the [Student Employment website](https://studentemployment.uchicago.edu/).\n\nVisit our [FAQ](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/) page for additional information.', '### Tuition, Fees, & Aid\n\nThe program awards merit-based scholarships. Read more about [Tuition, Fees, & Aid](https://datascience.uchicago.edu/education/tuition-fees-aid/).']","Based on the information available, the Applied Data Science program offers various scholarships to eligible applicants. The program provides partial tuition scholarships to top applicants, including The Data Science Institute Scholarship and MS in Applied Data Science Alumni Scholarship. Applicants do not need to submit a separate application for these scholarships, but submitting applications ahead of the early deadline is recommended to enhance the chances of securing a scholarship. Additionally, the program offers merit scholarships automatically to eligible applicants upon application. It is advisable to explore scholarships from civic, professional organizations, foundations, and state agencies. Financial aid, federal loans, and employer tuition benefits are also available for eligible students. For more information and to apply for financial aid, admitted students can work with the University of Chicago’s Student Loan Administration office. Further details on financial assistance, including international student funding options and aid eligibility criteria, can be found on the Graduate Aid page and the International Student Funding Options page of the university's website.

In summary, the program provides merit-based scholarships, encourages applicants to explore external scholarship opportunities, and offers financial aid options to support students in financing their graduate education.","The Data Science Institute Scholarship, MS in Applied Data Science Alumni Scholarship",0.8181818181818182,0.8974182807065288,0.9999999999666667,1.0,0.4386101894268175
What are the minimum scores for the TOEFL and IELTS English Language Requirement?,"['### Are standardized tests required for admission?\n\nAs part of the online application, candidates will be required to submit a GMAT or GRE score for the joint program. International applicants may be required to submit proof of English language proficiency by submitting a TOEFL iBT or IELTS test score. The minimum TOEFL iBT score required for admission is 104; the minimum IELTS score required is 7. Proof of English proficiency may be waived under certain criteria noted by UChicago GRAD Admissions.', '### What are the minimum scores required?\n\nThe minimum required score for the TOEFL is 102 overall. Minimum required scores in the IELTS are an overall score of seven. (Note: students are required to take the Academic Reading/Writing test within IELTS, not the General Training Reading/Writing test). TOEFL or IELTS score reports are valid for two years and scores will be considered expired if the test was taken more than two years prior to submission of the application. Photocopies of TOEFL or IELTS Score Reports will not be considered valid.', '### English Language Requirement\n\nApplicants to the Master’s in Applied Data Science program who do not meet the English Language Proficiency criteria must submit proof of English language proficiency.\n\nMinimum scores for the Master’s in Applied Data Science program: TOEFL, 102 (no subscore requirement); IELTS, 7 (no subscore requirement).\n\nPlease review our [waiver policy here](https://grad.uchicago.edu/admissions/apply/english-language-requirements/).']","I apologize, but there are no documents available that provide information on the minimum scores required for the TOEFL and IELTS English Language Requirement for the Applied Data Science program. Thus, I do not have the necessary details to answer your question accurately. It is advisable to directly contact the university's admissions office for precise information regarding the English Language Requirement scores for the program.","Minimum scores for the Master’s in Applied Data Science program: TOEFL, 102 (no subscore requirement); IELTS, 7 (no subscore requirement).",0.0,0.0,0.9999999999666667,1.0,0.2245849780761384
Is there an application fee waiver?,"['### Application Fee\n\nThere is a $90 non-refundable application fee. For questions regarding an application fee waiver, please refer to the [Physical Sciences Division fee waiver policy](https://physicalsciences.uchicago.edu/academics/admissions/application-requirements/#FeeWaiver).', '### English Language Requirement\n\nApplicants to the Master’s in Applied Data Science program who do not meet the English Language Proficiency criteria must submit proof of English language proficiency.\n\nMinimum scores for the Master’s in Applied Data Science program: TOEFL, 102 (no subscore requirement); IELTS, 7 (no subscore requirement).\n\nPlease review our [waiver policy here](https://grad.uchicago.edu/admissions/apply/english-language-requirements/).', ""### I don't have the required TOEFL/IELTS score. Can I retake the TOEFL/IELTS once I arrive in the U.S.?\n\nNo, your application will be incomplete without the minimum TOEFL or IELTS requirement.""]",,"For questions regarding an application fee waiver, please refer to the Physical Sciences Division fee waiver policy.",,0.0,0.9999999999,1.0,0.1852309348827431
What are the deadlines for the in-person program?,"['### Start Your Application\n\n[The application for entrance in Autumn 2025 is open!](https://apply-psd.uchicago.edu/apply/) The final application deadline for full- and part-time entrance in Autumn 2025 is June 23, 2025.\nThe [In-Person](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/in-person-program/) and [Online](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/online-program/) program admits full- and part-time students for entrance in the autumn quarter annually.', '### Next Application Deadlines:\n\n**In-Person:**\n* May 6, 2025 – Third Priority Application Deadline\n* June 23, 2025 – Final Application Deadline\n\n**Online:**\n* Autumn 2025\n  * June 23, 2025 – Final Application Deadline\n* The [application portal](https://apply-psd.uchicago.edu/apply/) may close early if the cohort is filled.', ""### If I finish my Master's in Applied Data Science application before the deadline, will I receive my decision early?\n\nNo, applications for the in-person program are typically released 1-2 months after the previous deadline. Remember your application must be complete in order to go into review.""]","Concise Summary: The deadlines for the in-person program are as follows: the application deadline is March 15th, the acceptance notifications will be sent by April 15th, and the program starts on September 1st.","November 7, 2024 – Priority Application Deadline; December 4, 2024 – Scholarship Priority Deadline; January 21, 2025 – International Application Deadline (requiring visa sponsorship from UChicago); March 4, 2025 – Second Priority Application Deadline; May 6, 2025 – Third Priority Application Deadline; June 23, 2025 – Final Application Deadline",0.25,1.0000000000000002,0.9999999999666667,0.3333333333333333,0.21772037032246228
How long will it take for me to receive a decision on my application?,"[""### If I finish my Master's in Applied Data Science application before the deadline, will I receive my decision early?\n\nNo, applications for the in-person program are typically released 1-2 months after the previous deadline. Remember your application must be complete in order to go into review."", ""### When will I receive my Master's in Applied Data Science admission decision?\n\nTypically, admissions decisions are released 1-2 months after each application deadline. Please note: Applications must be complete in order to be reviewed and for an admissions decision to be made. Please review the [How to Apply](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/) page."", '### Next Application Deadlines:\n\n**In-Person:**\n* May 6, 2025 – Third Priority Application Deadline\n* June 23, 2025 – Final Application Deadline\n\n**Online:**\n* Autumn 2025\n  * June 23, 2025 – Final Application Deadline\n* The [application portal](https://apply-psd.uchicago.edu/apply/) may close early if the cohort is filled.']",Concise Summary: The decision on your application typically takes about 2-4 weeks after the deadline.,In-Person application decisions are released approximately 1 to 2 months after each respected deadline. Online application decisions are released on a rolling basis,0.0,0.927297579332035,0.9999999999666667,0.0,0.22211083412805083
Can I set up an advising appointment with the enrollment management team?,"['### In-Person Program\n\n**Jose Alvarado**  \nAssociate Director of Enrollment Management\n\nJose Alvarado supports prospective students throughout the admissions process for the In-Person Master of Science in Applied Data Science program.  \n[Learn more about Jose](https://datascience.uchicago.edu/people/jose-alvarado/)  \n[Start My App](https://apply-psd.uchicago.edu/apply/) | [Schedule an Appointment](https://apply-psd.uchicago.edu/portal/inpersonmsads)', 'People\n\n#### Zach Brown\n\nOperations Coordinator\nZach Brown is an Operations Coordinator for the Applied Data Science Operations team. In this role, he manages room reservations and oversees classroom technology for MS-ADS classes and events within NBC Tower. Drawing on more than a decade of experience in Student Center Facility Operations and Event Services, Zach brings valuable experience to his position. Previously, he held several roles at the Illini Union, University of Illinois at Urbana-Champaign. Most recently, he was the Program Manager for the Event Services Office, where he led a team of undergraduate students in processing all facility reservations. Zach’s educational background includes a Master’s in Higher Education Administration from Ohio University and a bachelor’s degree in psychology and Anthropology from Ohio State University.\n\n* Email: zbrown@uchicago.edu', 'People / Leadership & Staff\n\n#### Jose Alvarado\nAssociate Director, Enrollment Management, MS in Applied Data Science\n\nJose Alvarado serves as the Associate Director of Enrollment Management for the MS in Applied Data Science program. Prior to his current role, Jose served as a higher education professional specializing in recruitment and enrollment management. He has worked at great institutions around the Chicagoland area like the University of Illinois Systems, Northwestern University, and Loyola University Chicago. He brings with him extensive knowledge working with undergraduate, graduate, and international student populations.']","I'm sorry, but I do not have any information regarding setting up advising appointments with the enrollment management team in the provided documents. It is recommended that you reach out directly to the university's enrollment management office or check the program's website for more information on scheduling advising appointments.","Yes, meet your admissions counselor by scheduling an appointment https://apply-psd.uchicago.edu/portal/applied-data-science",0.0,0.0,0.9999999999,1.0,0.20076642011578533
Where can I mail my official transcripts?,"['### Once I upload my unofficial transcripts to my application, do I still need to provide an official transcript?\n\nOne unofficial transcript from each university you attended must be uploaded within the application. An unofficial transcript for undergraduate coursework is still required for the application even if you hold an advanced degree(s). Please do not mail transcripts as part of your admission application; we only require unofficial uploads for application evaluation. If you are offered admission, one official transcript for each university you attended will be required at least one month prior to matriculation.', '### Transcripts from all previous colleges and universities attended\n\nWhen applying to the program, only your *unofficial* transcripts are required. If you are admitted into the program, then official transcripts must be sent to the following (note a bachelor’s degree is required to apply to the program):\n\nPlease have your institution send your e-transcripts directly to:  \n**applieddatascience-admissions@uchicago.edu**.\n\n***If*** your institution cannot send your documents electronically, please have them send your transcripts to the following mailing address.\n\nPlease note, if documents are being mailed, we must receive them in their original, school-sealed envelope. If your documents are not received in a school-sealed envelope, they will be considered unofficial. Additionally, if your transcript does not list degree conferral information (degree earned and date of conferral), we will also need to receive an attested copy of your degree certificate.\n\nThe University of Chicago  \nAttention: MS in Applied Data Science Admissions  \n455 N Cityfront Plaza Dr., Suite 950  \nChicago, Illinois 60611', ""### If I am admitted to the Master's in Applied Data Science program, what do I do next?\n\nHave official e-transcripts sent to applieddatascience-admissions@uchicago.edu.\n\nIf your institution cannot send your documents electronically, please have them send your transcripts to the following mailing address:\n\nThe University of Chicago\nAttention: MS in Applied Data Science Admissions\n455 N Cityfront Plaza Dr., Suite 950\nChicago, Illinois 60611""]",,"The University of Chicago
Attention: MS in Applied Data Science Admissions
455 N Cityfront Plaza Dr., Suite 950
Chicago, Illinois 60611",,0.0,0.9999999999666667,1.0,0.17799261015522033
Does the Master’s in Applied Data Science Online program provide visa sponsorship?,"[""### Which Master's in Applied Data Science provides students with visas?\n\nOnly the full-time, [In-Person](https://datascience.uchicago.edu/education/masters-programs/in-person-program/) program is eligible for visa sponsorship. Applicants who need visa sponsorship are highly encouraged to apply to the earlier rounds."", ""### Do I need to be a US citizen or permanent resident to apply to Master's in Applied Data Science Online Program?\n\nNo, students do not have to be US citizen or resident to partake in the [Online Program](https://datascience.uchicago.edu/education/masters-programs/online-program/). Please note that the [Online Program](https://datascience.uchicago.edu/education/masters-programs/online-program/) is *not* eligible for visa sponsorship."", '### The Data Science Institute Scholarship, MS in Applied Data Science Alumni Scholarship\n\nThe MS in Applied Data Science program offers partial tuition scholarships to top applicants. These scholarships do not require a separate application but it is recommended that candidates submit their applications ahead of the early deadline to maximize their chances of securing a scholarship.']","The Master's in Applied Data Science Online Program does not provide visa sponsorship. Visa sponsorship is only available for the full-time In-Person program. Therefore, if you require visa sponsorship, it is recommended to apply to the In-Person program rather than the Online Program.","Only our In-Person, Full-Time program is Visa eligible",0.6666666666666666,0.9919736307099708,0.99999999995,1.0,0.5179315224068386
How do I apply to the MBA/MS program?,"['### How do I apply to the MBA/MS joint degree program?\n\nApplicants interested in the Joint MBA/MS degree will apply through [Booth’s centralized, joint-application process](https://www.chicagobooth.edu/admissions/apply). Applicants should complete the Chicago Booth Full-Time MBA [application](https://www.chicagobooth.edu/admissions/apply) and select the MBA/MS in Applied Data Science as their program of interest. An MBA/MS program supplement will be available for completion within your Booth application. The supplement contains Applied Data Science specific questions that will be reviewed by the Applied Data Science admissions team along with your full Booth application. For complete consideration, applicants should complete the MBA application and the joint degree program supplement in the same application round prior to submitting the application.', '### [MBA/MS Program](https://www.chicagobooth.edu/mba/joint-degree/mba-ms-applied-data-science?sc_lang=en)\n\nThe joint degree with UChicago’s Booth School of Business is ideal for ambitious students looking to supplement their MBA studies with a cutting-edge education in data science.\n[Learn More](https://www.chicagobooth.edu/mba/joint-degree/mba-ms-applied-data-science?sc_lang=en)\n\nThe application for entry is open! Prospective Online and In-Person students can apply by June 23, 2025, for full- and part-time study for Autumn 2025 entry. Start your application [here](https://apply-psd.uchicago.edu/apply/).', '## Get in Touch\n\nBefore we get back to you, please check to see if your question has already been answered on our [FAQs page](https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/faqs/).\n\n[The application for entrance in Autumn 2025 is open!](https://apply-psd.uchicago.edu/apply/)']","I apologize, but there are no relevant documents found regarding the application process for the MBA/MS program in Applied Data Science. Without specific information from the documents, I cannot provide guidance on how to apply to the program. For accurate details on the application procedure, I recommend reaching out directly to the university's admissions office or the department offering the program for the most up-to-date and precise application instructions.","Applicants interested in the Joint MBA/MS degree will apply through Booth’s centralized, joint-application process. Applicants should complete the Chicago Booth Full-Time MBA application and select the MBA/MS in Applied Data Science as their program of interest",0.0,0.0,0.9999999999666667,1.0,0.21038702297488215
